PG.CellularComponent	PG.BiologicalProcess	PG.MolecularFunction	PG.UniprotIds	PG.Genes	PG.ProteinDescriptions	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.UniquePeptides
;;;;;	;;;;;	;;;;;	A0A286ZNB9;A0A287A5A7;A0A287AA73;A0A287B2X0;A0A287BL47;F1RXD5	CPNE3	Copine 3	NaN	NaN	NaN	51303.7	1134706	328782.8	NaN	NaN	NaN	2	2	2
;;	;;	;;	A0A287BMC4;A0A5G2QYW8;F1RU39	PACS1	Phosphofurin acidic cluster sorting protein 1	NaN	NaN	NaN	312904	NaN	767884.4	NaN	NaN	NaN	1	NaN	1
;plasma membrane	;protein folding,phagocytosis,protein localization to cell surface,positive regulation of skeletal muscle acetylcholine-gated channel clustering	;identical protein binding,low-density lipoprotein particle receptor binding	A0A287AQS4;F1RIE0	MESD	LDLR chaperone MESD	NaN	NaN	NaN	1874132	704476.9	NaN	NaN	NaN	NaN	1	1	NaN
	regulation of catalytic activity	adenyl-nucleotide exchange factor activity,chaperone binding	A0A287AV76	BAG2	BAG cochaperone 2	NaN	NaN	NaN	720421.3	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN
			I3LUZ1	CPNE1	Uncharacterized protein	NaN	NaN	NaN	3726438	2.251746E+07	NaN	NaN	NaN	NaN	2	2	NaN
;extracellular region	;regulation of cell growth,proteolysis,negative regulation of transforming growth factor beta receptor signaling pathway,negative regulation of BMP signaling pathway	;serine-type endopeptidase activity,insulin-like growth factor binding	A0A5G2QFR3;F1S7Y0	HTRA3	HtrA serine peptidase 3	NaN	NaN	NaN	3175918	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
	protein homooligomerization	identical protein binding	F1RHE6	KCTD12	Potassium channel tetramerization domain containing 12	NaN	NaN	NaN	879006.1	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;;;;;;nucleus,mitochondrion	;metabolic process;;;;;metabolic process	;glutathione transferase activity;;;;;glutathione transferase activity	A0A287AQ27;A0A287AZ91;A0A287BQ81;A0A5G2QMB0;A0A5G2RH88;F1RVN0;P80031	LOC100739508;LOC100739508;LOC100739508;LOC100739508;LOC100739508;LOC100739508;GSTP1	GST class-pi;GST class-pi;GST class-pi;GST class-pi;GST class-pi;GST class-pi;Glutathione S-transferase P	NaN	NaN	NaN	324242.9	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;mitochondrion	;iron-sulfur cluster assembly,protein maturation,protein maturation by iron-sulfur cluster transfer	;structural molecule activity,iron ion binding,2 iron, 2 sulfur cluster binding,4 iron, 4 sulfur cluster binding	A0A5G2RC38;F1S3F3	ISCA2	Iron-sulfur cluster assembly 2	NaN	NaN	NaN	2924512	3293149	3593308	NaN	NaN	NaN	1	1	1
;;;;;;;;;	protein phosphorylation;;;;;;;;;	calmodulin-dependent protein kinase activity,calmodulin binding,ATP binding;;;;;;;;;	A0A286ZKT1;A0A286ZVC8;A0A287B7M7;A0A287BCC5;A0A287BS43;A0A5G2QSW9;A0A5G2RLI5;A0A5K1UJ76;F6QB46;F6QB57	CAMK2G	Calcium/calmodulin-dependent protein kinase	NaN	NaN	NaN	2022219	2506626	NaN	NaN	NaN	NaN	1	1	NaN
	alanyl-tRNA aminoacylation	nucleic acid binding,alanine-tRNA ligase activity,ATP binding	A0A287BF30	AARSD1	Alanyl-tRNA editing protein Aarsd1	NaN	NaN	NaN	7337437	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;;;;;;;;nucleus,cytoplasm,cytosol,polysome,axon,ribonucleoprotein granule,costamere,dendritic spine,perinuclear region of cytoplasm	;;;;;;;;muscle organ development,negative regulation of translation,positive regulation of gene silencing by miRNA	;;;;;;;;G-quadruplex RNA binding,mRNA binding,mRNA 3'-UTR binding,RNA strand annealing activity,protein homodimerization activity,protein heterodimerization activity	A0A286ZS04;A0A287B7I4;A0A5G2QCD0;A0A5G2QDJ5;A0A5G2QEG2;A0A5G2QTK9;F1SGB0;I3LAK5;I3LH62	FXR1	Uncharacterized protein;Agenet-like domain-containing protein;Agenet-like domain-containing protein;Agenet-like domain-containing protein;Agenet-like domain-containing protein;Agenet-like domain-containing protein;Uncharacterized protein;Uncharacterized protein;Fragile X mental retardation syndrome-related protein 1 isoform X1	NaN	NaN	NaN	794176.7	589256.3	786662.1	NaN	NaN	NaN	2	2	2
;;;;	;;;;	;;;;	A0A286ZK25;A0A287B595;A0A480ETD9;A0A5G2Q7R3;F1SLF4	SMYD5	Histone-lysine N-trimethyltransferase SMYD5	NaN	NaN	NaN	47113.13	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
			F2Z5C1	ANXA5	Annexin	NaN	NaN	NaN	516256.3	NaN	458962.1	NaN	NaN	NaN	2	NaN	2
;;;cytoskeleton	;;;	;;;	A0A287AQ41;A0A287BQQ3;A0A287BSU1;F1S5M9	ADD3	Adducin 3	NaN	NaN	NaN	529137.4	NaN	1.023164E+07	NaN	NaN	NaN	2	NaN	2
;;;	dUTP metabolic process;;;	dUTP diphosphatase activity;;;	A0A286ZYB5;A0A287AX05;A0A5G2QP93;A0A5G2QVU4	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase	NaN	NaN	NaN	1.040744E+08	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;;;;collagen type XI trimer,extracellular space	;;;;cartilage condensation,chondrocyte development,proteoglycan metabolic process,visual perception,collagen fibril organization,endodermal cell differentiation,tendon development,inner ear morphogenesis,embryonic skeletal system morphogenesis,detection of mechanical stimulus involved in sensory perception of sound,ventricular cardiac muscle tissue morphogenesis	;;;;	A0A5G2QH98;A0A5G2QJD3;A0A5G2RGP6;A0A5G2RKA4;F1S571	COL11A1	Collagen type XI alpha 1 chain	NaN	NaN	NaN	4012670	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;;;;;;;;;	;;;;;;;;;actomyosin structure organization	;;;;;;;;;actin binding,metal ion binding	A0A287A3N8;A0A287A444;A0A287A5K6;A0A287AMS3;A0A287BMX7;A0A287BNN8;A0A287BPD8;A0A5G2QZ24;A0A5G2R6J6;F1S4G7	LIMCH1	LIM and calponin homology domains 1	NaN	NaN	NaN	1594139	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN
mitochondrial outer membrane,mitochondrial permeability transition pore complex,plasma membrane,membrane,membrane raft	anion transport,apoptotic process,inorganic anion transport,anion transmembrane transport	nucleotide binding,voltage-gated anion channel activity,porin activity	Q9MZ16	VDAC1	Voltage-dependent anion-selective channel protein 1	NaN	NaN	NaN	1.439673E+07	6581626	1.783697E+07	NaN	NaN	NaN	4	4	4
			A0A5G2RAR2	NMNAT3	Nicotinamide-nucleotide adenylyltransferase	NaN	NaN	NaN	131363.2	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN
;cAMP-dependent protein kinase complex;cytoplasm,plasma membrane,cAMP-dependent protein kinase complex	;regulation of protein kinase activity;regulation of protein kinase activity,regulation of meiotic cell cycle process involved in oocyte maturation	;cAMP-dependent protein kinase regulator activity,cAMP binding;cAMP-dependent protein kinase regulator activity,cAMP binding	A0A287AJA4;A0A287AKY1;P07802	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit	NaN	NaN	NaN	234761.1	NaN	160445.3	NaN	NaN	NaN	2	NaN	2
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o);;	ATP synthesis coupled proton transport;;	hydrogen ion transmembrane transporter activity;;	A0A286ZYM6;A0A5G2R1V1;A0A5G2RAC9	ATP5PB	ATP synthase subunit b	NaN	NaN	NaN	341608.9	60752.17	102612.9	NaN	NaN	NaN	2	2	2
;	;	;	A0A287B3P5;F1SSM7	NUB1	Negative regulator of ubiquitin like proteins 1	NaN	NaN	NaN	613053.5	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
			A0A5G2QK35	HTRA1	Uncharacterized protein	NaN	NaN	NaN	1263462	NaN	NaN	NaN	NaN	NaN	3	NaN	NaN
;heterotrimeric G-protein complex	;adenosine receptor signaling pathway,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,gamma-aminobutyric acid signaling pathway	;G-protein coupled receptor binding,GTPase activity,signal transducer activity,GTP binding,G-protein beta/gamma-subunit complex binding	A0A287B697;Q06AS6	GNAI2	G protein subunit alpha i2	NaN	NaN	NaN	105643.3	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;chromosome	;regulation of transcription, DNA-templated,histone lysine methylation	;histone-lysine N-methyltransferase activity	A0A286ZVH9;A0A287AIP9	SETD7	[Histone H3]-lysine(4) N-methyltransferase	NaN	NaN	NaN	324496.5	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
nucleus,transcription factor complex,cytoplasm;;;;;nuclear chromatin,nucleus,nuclear inner membrane,nucleoplasm,transcription factor complex,cytoplasm,cytosol,plasma membrane,receptor complex,SMAD protein complex,SMAD2-SMAD3 protein complex	transcription, DNA-templated,regulation of transcription, DNA-templated,transforming growth factor beta receptor signaling pathway;;;;;negative regulation of transcription from RNA polymerase II promoter,ureteric bud development,response to hypoxia,in utero embryonic development,mesoderm formation,somitogenesis,liver development,heart looping,osteoblast development,immune system development,transcription, DNA-templated,activation of cysteine-type endopeptidase activity involved in apoptotic process,immune response,cell cycle arrest,transforming growth factor beta receptor signaling pathway,SMAD protein complex assembly,endoderm development,embryonic pattern specification,positive regulation of epithelial to mesenchymal transition,regulation of striated muscle tissue development,regulation of transforming growth factor beta receptor signaling pathway,evasion or tolerance of host defenses by virus,negative regulation of cell growth,thyroid gland development,positive regulation of chondrocyte differentiation,regulation of transforming growth factor beta2 production,negative regulation of osteoblast proliferation,nodal signaling pathway,T cell activation,positive regulation of transcription factor import into nucleus,cell-cell junction organization,positive regulation of nitric oxide biosynthetic process,negative regulation of fat cell differentiation,negative regulation of osteoblast differentiation,negative regulation of mitotic cell cycle,paraxial mesoderm morphogenesis,developmental growth,embryonic foregut morphogenesis,embryonic cranial skeleton morphogenesis,regulation of epithelial cell proliferation,negative regulation of inflammatory response,regulation of immune response,regulation of binding,negative regulation of cytosolic calcium ion concentration,pericardium development,positive regulation of SMAD protein import into nucleus,SMAD protein signal transduction,negative regulation of wound healing,lens fiber cell differentiation,extrinsic apoptotic signaling pathway,positive regulation of extracellular matrix assembly,positive regulation of pri-miRNA transcription from RNA polymerase II promoter	DNA binding,transcription factor activity, sequence-specific DNA binding;;;;;RNA polymerase II core promoter proximal region sequence-specific DNA binding,transcription factor activity, RNA polymerase II core promoter sequence-specific,core promoter proximal region sequence-specific DNA binding,transcription factor activity, transcription factor binding,RNA polymerase II activating transcription factor binding,transcription factor activity, sequence-specific DNA binding,transforming growth factor beta receptor binding,protein binding,collagen binding,zinc ion binding,DEAD/H-box RNA helicase binding,protein kinase binding,phosphatase binding,transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity,chromatin DNA binding,ubiquitin protein ligase binding,mineralocorticoid receptor binding,glucocorticoid receptor binding,protein homodimerization activity,ubiquitin binding,bHLH transcription factor binding,protein heterodimerization activity,co-SMAD binding,R-SMAD binding,primary miRNA binding	A0A287AE86;A0A287BE69;A0A5G2RC27;F1RPR3;G9BWQ0;P84024	SMAD2;SMAD2;SMAD3;SMAD2;SMAD2;SMAD3	Mothers against decapentaplegic homolog;Mothers against decapentaplegic homolog;Mothers against decapentaplegic homolog;Mothers against decapentaplegic homolog;Mothers against decapentaplegic homolog;Mothers against decapentaplegic homolog 3	NaN	NaN	NaN	794716.8	720081.6	1322981	NaN	NaN	NaN	1	1	1
myosin complex;	microtubule-based movement;	microtubule motor activity,actin binding,ATP binding,microtubule binding;	A0A287ARN5;F1RKW9	MYO1D	Myosin ID	NaN	NaN	NaN	2173048	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN
cytoplasm;;;	intracellular distribution of mitochondria;;;	RNA binding;;;	A0A286ZPZ5;A0A287B4U2;A0A287BR17;F1RHG1	CLUH	Clustered mitochondria protein homolog	NaN	NaN	NaN	21907.71	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;cytoplasm,membrane raft	;protein transport into membrane raft,antigen receptor-mediated signaling pathway	;	A0A287BC39;F1RS76	RFTN1	Raftlin, lipid raft linker 1;Raftlin, lipid raft linker 1	NaN	NaN	NaN	356846.1	5.411975E+07	85061.22	NaN	NaN	NaN	3	3	3
mitochondrial inner membrane;;;	respiratory electron transport chain;;;	oxidoreductase activity, acting on NAD(P)H;;;	A0A287BAW0;A0A5G2QYE9;A0A5G2R584;A0A5G2RN85	NDUFA5	Complex I subunit B13	NaN	NaN	NaN	389923.3	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;;;Golgi apparatus,cytosol,plasma membrane	;;;regulation of cell shape,cell migration,actin cytoskeleton organization	;;;actin binding,Rho GTPase binding,GTPase activating protein binding	A0A5G2QAY2;I3LQV1;I3LR14;I3LS77	FMNL3	Formin like 3	NaN	NaN	NaN	554314.6	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
Prp19 complex,nucleus,DNA replication factor A complex,cytoplasm,nuclear speck,U2-type catalytic step 2 spliceosome	mRNA splicing, via spliceosome,regulation of transcription from RNA polymerase II promoter,transcription from RNA polymerase II promoter,cell differentiation,positive regulation of transcription from RNA polymerase II promoter,signal transduction involved in DNA damage checkpoint	RNA polymerase II regulatory region sequence-specific DNA binding,RNA polymerase II transcription factor activity, sequence-specific DNA binding,transcription factor activity, RNA polymerase II transcription factor recruiting,transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,sequence-specific DNA binding,transcription regulatory region DNA binding,WD40-repeat domain binding	F1RQS5	CDC5L	Cell division cycle 5 like	NaN	NaN	NaN	124118.8	1578086	NaN	NaN	NaN	NaN	2	2	NaN
;	;	;	B7U4X2;F6PRQ8	ANGPTL7	Angiopoietin like 7	NaN	NaN	NaN	684145.4	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN
;	;	;	A0A286ZVE6;A0A287A1Q6	LMO7	LIM domain 7	NaN	NaN	NaN	1.827762E+07	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN
;	;	;	A0A5G2R2S5;F1SE87	CHMP5	Uncharacterized protein	NaN	NaN	NaN	188529.4	269319	215176.1	NaN	NaN	NaN	3	3	3
;;	DNA replication;;	single-stranded DNA binding;;	A0A287A6V6;A0A287ALS6;F1SRQ7	SSBP1	Single-stranded DNA-binding protein;Single-stranded DNA-binding protein, mitochondrial;Single-stranded DNA-binding protein, mitochondrial	NaN	NaN	NaN	385369.4	NaN	1087859	NaN	NaN	NaN	2	NaN	2
;;	oxidation-reduction process;;	NADH dehydrogenase (ubiquinone) activity,metal ion binding,quinone binding,4 iron, 4 sulfur cluster binding;;	A0A287B9B0;A0A5G2RCS5;I3LK43	NDUFS7	Complex I-20kD	NaN	NaN	NaN	7880103	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN
;ribosome;cytosolic small ribosomal subunit	;translation;translation	;structural constituent of ribosome;structural constituent of ribosome	A0A287A014;A0A287ADE6;F1SB47	RPS15A;RPS15A;	40S ribosomal protein S15a	NaN	NaN	NaN	2869591	NaN	2943857	NaN	NaN	NaN	2	NaN	2
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o),mitochondrial proton-transporting ATP synthase complex,integral component of membrane	ATP synthesis coupled proton transport	hydrogen ion transmembrane transporter activity	Q35914	MT-ATP8	ATP synthase protein 8	NaN	NaN	NaN	3051152	1844157	3456914	NaN	NaN	NaN	1	1	1
;;extracellular space,nuclear envelope,cytosol,polysome,external side of plasma membrane,sarcoplasmic reticulum lumen,MHC class I peptide loading complex,endoplasmic reticulum quality control compartment,perinuclear region of cytoplasm	;;negative regulation of transcription from RNA polymerase II promoter,peptide antigen assembly with MHC class I protein complex,protein folding,protein export from nucleus,positive regulation of cell proliferation,positive regulation of endothelial cell migration,positive regulation of gene expression,negative regulation of translation,cortical actin cytoskeleton organization,negative regulation of intracellular steroid hormone receptor signaling pathway,protein localization to nucleus,regulation of meiotic nuclear division,negative regulation of neuron differentiation,positive regulation of DNA replication,negative regulation of retinoic acid receptor signaling pathway,positive regulation of phagocytosis,protein stabilization,negative regulation of cell cycle arrest,cellular senescence,positive regulation of substrate adhesion-dependent cell spreading,negative regulation of trophoblast cell migration,positive regulation of NIK/NF-kappaB signaling,positive regulation of dendritic cell chemotaxis	;;mRNA binding,integrin binding,calcium ion binding,carbohydrate binding,ubiquitin protein ligase binding,androgen receptor binding,unfolded protein binding	A0A287AG29;A0A287B0P6;P28491	CALR	Calreticulin	NaN	NaN	NaN	60535.07	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;mitochondrion	;	;	A0A5G2Q861;F1RXS0	SELENOO	Selenoprotein O	NaN	NaN	NaN	814356.8	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;stress fiber,cytoplasm,brush border,myosin II complex,growth cone,myelin sheath,myosin II filament	;skeletal muscle contraction,microtubule-based movement,skeletal muscle tissue development,sensory perception of sound,neuronal action potential,actin filament-based movement,actomyosin structure organization,mitochondrion morphogenesis,vocalization behavior	;microfilament motor activity,microtubule motor activity,ATP binding,microtubule binding,actin-dependent ATPase activity,actin filament binding	I3LIE3;I3LV99	MYH14	Myosin heavy chain 14	NaN	NaN	NaN	589340	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;	;	syntaxin binding;	A0A287A996;F1S6Z6	TXLNB	Taxilin beta	NaN	NaN	NaN	93830.01	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
centriole,cytosol;nucleus,centriole	protein export from nucleus,cell differentiation;protein export from nucleus,multicellular organism development,cell differentiation	;	F1RTI5;Q9TSV3	CCHCR1	Alpha-helical coiled-coil rod protein;Coiled-coil alpha-helical rod protein 1 (Fragment)	NaN	NaN	NaN	1040923	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
;;;;;;	;;;;;;	;ATP binding;;;;;	A0A287ANT8;A0A287AYL9;A0A5G2QEL5;A0A5G2QT51;A0A5G2R0I8;F1RRS3;I3LTE8	NSF	Vesicle-fusing ATPase	NaN	NaN	NaN	38825.9	NaN	394484.2	NaN	NaN	NaN	1	NaN	1
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o),mitochondrial proton-transporting ATP synthase complex	ATP synthesis coupled proton transport	hydrogen ion transmembrane transporter activity,ATPase activity	Q9MYT8	ATP5ME	ATP synthase subunit e, mitochondrial	NaN	NaN	NaN	418320.7	775472.6	1239900	NaN	NaN	NaN	5	5	5
;	;	;identical protein binding	A0A5G2QJT3;F1RHA9	LECT2	Leukocyte cell-derived chemotaxin-2;Leukocyte cell derived chemotaxin 2	NaN	NaN	NaN	287223.2	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
striated muscle thin filament,actin filament,M band	muscle contraction,actin filament organization,actin filament polymerization,myofibril assembly,actin nucleation,sarcomere organization,pointed-end actin filament capping	actin monomer binding,tropomyosin binding	F1SLY4	LMOD2	Leiomodin 2	NaN	NaN	NaN	1446261	2425246	NaN	NaN	NaN	NaN	2	2	NaN
;;;;;;	;;;;;;	;;;nucleic acid binding;;;	A0A286ZT20;A0A287A9L4;A0A287AA44;A0A287AD24;A0A287BA63;A0A287BAJ4;F1RKW7	ZNF207	Zinc finger protein 207;Zinc finger protein 207;Zinc finger protein 207;Zinc finger protein 207;BUB3-interacting and GLEBS motif-containing protein ZNF207 isoform b;Zinc finger protein 207;Zinc finger protein 207	NaN	NaN	NaN	979035.4	213410.9	NaN	NaN	NaN	NaN	2	2	NaN
			F1RZ07	LOC110257935	Uncharacterized protein	NaN	NaN	NaN	2544915	NaN	6718632	NaN	NaN	NaN	2	NaN	2
;;;;;	;;;;;	;;;;;	A0A286ZTN4;A0A287ABB8;A0A287ACQ7;A0A287APA1;A0A5G2QPT6;A0A5G2QWH5	NIPSNAP2	NIPSNAP domain-containing protein	NaN	NaN	NaN	93357.7	NaN	4891386	NaN	NaN	NaN	2	NaN	2
;	;	;	A0A286ZU91;A0A5G2R4Q7	VPS35	Vacuolar protein sorting-associated protein 35	NaN	NaN	NaN	7116039	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
cytoplasm	estrogen biosynthetic process,visual perception,retinol metabolic process,oxidation-reduction process	estradiol 17-beta-dehydrogenase activity,retinol dehydrogenase activity	F1S3H8	RDH8	Retinol dehydrogenase	NaN	NaN	NaN	34371.98	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN
			A0A287AAG7	PDPR	Pyruvate dehydrogenase phosphatase regulatory subunit	NaN	NaN	NaN	1020888	746319.4	NaN	NaN	NaN	NaN	3	3	NaN
;;;	;;;	;;;	A0A287BB44;A0A5G2Q7Y9;F1SEN5;F1SEN6	MMRN2	Multimerin 2	NaN	NaN	NaN	91455.95	NaN	137333.3	NaN	NaN	NaN	2	NaN	2
			A0A5G2RJ76	EEA1	Uncharacterized protein	NaN	NaN	NaN	85571.91	381448.5	586477.1	NaN	NaN	NaN	1	1	1
;integral component of mitochondrial inner membrane	;mitochondrial pyruvate transport	;pyruvate transmembrane transporter activity	A0A5G2REE1;F1RPU8	MPC2	Mitochondrial pyruvate carrier	NaN	NaN	NaN	341186.3	1318613	180608.9	NaN	NaN	NaN	2	2	2
